time,x,y,vx,vy,theta_x,theta_y,action_x,action_y
0.091763,0.003077,-0.000000,0.000000,0.000000,-0.000943,0.002297,-0.000943,0.002297
0.156411,0.004615,-0.001538,-0.001538,-0.000769,-0.002595,0.000999,-0.001652,-0.001298
0.221702,0.006923,-0.003077,-0.001538,-0.000769,-0.000475,0.001174,0.002120,0.000175
0.286579,0.008461,-0.005385,-0.001538,-0.002308,0.000417,0.002458,0.000892,0.001284
0.351629,0.008461,-0.006154,0.000000,-0.000769,0.001385,0.003220,0.000968,0.000762
0.416497,0.008461,-0.007692,0.000000,-0.000769,-0.001204,0.002015,-0.002589,-0.001205
0.481670,0.010000,-0.007692,-0.000769,0.000000,-0.001061,0.000453,0.000143,-0.001562
0.545133,0.010000,-0.007692,0.000000,0.000000,-0.000697,0.000090,0.000364,-0.000363
0.608615,0.011538,-0.006923,-0.000769,0.000769,-0.001238,0.000663,-0.000541,0.000573
0.673342,0.013077,-0.006923,-0.000769,0.000000,-0.001724,-0.000924,-0.000487,-0.001586
0.737728,0.013077,-0.006923,0.000000,0.000000,-0.001361,-0.000623,0.000363,0.000301
0.802346,0.013077,-0.006923,0.000000,0.000000,-0.002258,0.000043,-0.000897,0.000666
0.867363,0.013077,-0.006923,0.000000,0.000000,-0.002605,-0.000370,-0.000347,-0.000413
0.931615,0.013077,-0.006923,0.000000,0.000000,-0.002494,-0.000546,0.000112,-0.000176
0.996681,0.013077,-0.006923,0.000000,0.000000,-0.002413,-0.000385,0.000081,0.000161
1.060309,0.012308,-0.006923,0.000769,0.000000,-0.002474,-0.000317,-0.000061,0.000068
1.124150,0.010769,-0.006923,0.000769,0.000000,-0.003055,-0.000051,-0.000581,0.000266
1.189814,0.011538,-0.007692,0.000000,-0.000769,-0.002738,0.000003,0.000316,0.000054
1.260820,0.010000,-0.010000,0.001538,-0.002308,-0.001507,0.000680,0.001232,0.000677
1.324622,0.009231,-0.010000,0.000000,0.000000,-0.001194,0.003217,0.000313,0.002537
1.387880,0.007692,-0.007692,0.000769,0.001538,-0.001452,-0.000072,-0.000258,-0.003289
1.452183,0.008461,-0.004615,0.000000,0.002308,-0.002554,-0.000930,-0.001102,-0.000857
1.519757,0.010000,-0.001538,-0.000769,0.002308,-0.003202,-0.001779,-0.000648,-0.000850
1.584085,0.011538,-0.001538,-0.000769,0.000000,-0.003340,-0.002031,-0.000138,-0.000251
1.648788,0.013077,-0.003846,-0.000769,-0.001538,-0.001593,0.000131,0.001747,0.002161
1.712925,0.012308,-0.006923,0.000000,-0.002308,-0.001427,0.002212,0.000166,0.002082
1.777818,0.012308,-0.008462,0.000000,-0.001538,-0.001713,0.002461,-0.000286,0.000249
1.841992,0.010769,-0.009231,0.000769,0.000000,-0.002017,0.000925,-0.000304,-0.001536
1.906455,0.010769,-0.009231,0.000000,0.000000,-0.002415,-0.000479,-0.000398,-0.001404
1.970672,0.010769,-0.008462,0.000000,0.000769,-0.000954,-0.000529,0.001460,-0.000050
2.035646,0.010769,-0.008462,0.000000,0.000000,-0.001407,-0.000245,-0.000452,0.000284
2.101276,0.010769,-0.006923,0.000000,0.000769,-0.001103,0.000248,0.000304,0.000492
2.163937,0.010769,-0.006923,0.000000,0.000000,-0.002247,-0.000280,-0.001144,-0.000528
2.227582,0.010769,-0.006923,0.000000,0.000000,-0.001741,-0.000079,0.000506,0.000201
2.291939,0.010769,-0.006923,0.000000,0.000000,-0.001645,0.000414,0.000096,0.000493
2.356308,0.010769,-0.006923,0.000000,0.000000,-0.001830,0.000284,-0.000184,-0.000130
2.421991,0.010769,-0.007692,0.000000,-0.000769,-0.001874,0.000123,-0.000044,-0.000161
2.486525,0.009231,-0.007692,0.000769,0.000000,-0.001158,0.000984,0.000717,0.000861
2.551124,0.009231,-0.007692,0.000000,0.000000,-0.002324,0.000950,-0.001166,-0.000033
2.615206,0.009231,-0.007692,0.000000,0.000000,-0.001742,0.000012,0.000582,-0.000939
2.679676,0.009231,-0.007692,0.000000,0.000000,-0.001388,0.000540,0.000354,0.000529
2.743546,0.009231,-0.007692,0.000000,0.000000,-0.001354,0.000752,0.000033,0.000212
2.807062,0.009231,-0.007692,0.000000,0.000000,-0.001448,0.000587,-0.000093,-0.000165
2.871505,0.009231,-0.007692,0.000000,0.000000,-0.001449,0.000521,-0.000002,-0.000066
2.936646,0.009231,-0.007692,0.000000,0.000000,-0.001416,0.000570,0.000033,0.000049
3.001519,0.009231,-0.007692,0.000000,0.000000,-0.001416,0.000596,0.000000,0.000026
3.066866,0.009231,-0.007692,0.000000,0.000000,-0.001427,0.000579,-0.000011,-0.000017
3.130662,0.009231,-0.007692,0.000000,0.000000,-0.001428,0.000570,-0.000001,-0.000009
3.193882,0.009231,-0.007692,0.000000,0.000000,-0.001424,0.000576,0.000004,0.000005
3.263409,0.009231,-0.007692,0.000000,0.000000,-0.001424,0.000579,0.000000,0.000003
3.326781,0.009231,-0.007692,0.000000,0.000000,-0.001425,0.000577,-0.000001,-0.000002
3.391450,0.009231,-0.007692,0.000000,0.000000,-0.001425,0.000576,-0.000000,-0.000001
3.456611,0.009231,-0.007692,0.000000,0.000000,-0.001425,0.000577,0.000000,0.000001
