time,x,y,vx,vy,theta_x,theta_y,action_x,action_y
0.067940,0.000769,0.006154,-0.000000,-0.000000,-0.000002,-0.003160,-0.000002,-0.003160
0.133952,0.000769,0.006154,-0.000000,-0.000000,-0.000488,-0.003439,-0.000486,-0.000279
0.202142,0.000769,0.005385,-0.000000,-0.000769,-0.000453,-0.003256,0.000035,0.000184
0.265256,0.000769,0.005385,-0.000000,-0.000000,-0.000359,-0.002541,0.000094,0.000714
0.328739,0.002308,0.005385,-0.000769,-0.000000,-0.000559,-0.002769,-0.000199,-0.000228
0.391313,0.002308,0.005385,-0.000000,-0.000000,-0.000095,-0.003789,0.000464,-0.001020
0.455242,0.002308,0.005385,-0.000000,-0.000000,-0.000419,-0.003496,-0.000325,0.000293
0.519367,0.001538,0.005385,0.000769,-0.000000,-0.000425,-0.003349,-0.000006,0.000148
0.584483,0.002308,0.003846,-0.000000,-0.000769,-0.000795,-0.002488,-0.000370,0.000860
0.651253,0.001538,0.003846,0.000769,-0.000000,-0.000640,-0.002233,0.000155,0.000255
0.715449,0.002308,0.003846,-0.000769,-0.000000,-0.000815,-0.001882,-0.000175,0.000352
0.779002,0.001538,0.003846,0.000769,-0.000000,-0.000026,-0.003232,0.000789,-0.001350
0.841320,0.001538,0.003846,-0.000000,-0.000000,-0.000881,-0.002476,-0.000855,0.000756
0.904013,0.001538,0.003846,-0.000000,-0.000000,-0.000351,-0.002699,0.000530,-0.000223
0.968734,0.002308,0.003846,-0.000769,-0.000000,-0.000572,-0.002824,-0.000221,-0.000125
1.033204,0.002308,0.003846,-0.000000,-0.000000,-0.000108,-0.003668,0.000463,-0.000843
1.099039,0.002308,0.003846,-0.000000,-0.000000,-0.000373,-0.003313,-0.000265,0.000355
1.163400,0.002308,0.002308,-0.000000,-0.000769,-0.000516,-0.003110,-0.000143,0.000203
1.225877,0.002308,0.002308,-0.000000,-0.000000,-0.000407,-0.002304,0.000109,0.000806
1.289521,0.002308,0.002308,-0.000000,-0.000000,-0.000654,-0.002467,-0.000247,-0.000163
1.353997,0.002308,0.002308,-0.000000,-0.000000,-0.000463,-0.002671,0.000192,-0.000203
1.418513,0.003846,0.002308,-0.000769,-0.000000,-0.000559,-0.002725,-0.000097,-0.000054
1.482329,0.003846,0.003077,-0.000000,0.000769,-0.000145,-0.003586,0.000414,-0.000861
1.544769,0.003846,0.003077,-0.000000,-0.000000,-0.000285,-0.003843,-0.000141,-0.000257
1.607510,0.003846,0.003077,-0.000000,-0.000000,-0.000419,-0.003424,-0.000134,0.000420
1.672675,0.006154,0.005385,-0.001538,0.001538,-0.000509,-0.003168,-0.000090,0.000255
1.736380,0.008461,0.006154,-0.001538,-0.000000,0.000711,-0.005718,0.001221,-0.002549
1.804907,0.010769,0.006154,-0.002308,-0.000000,0.000938,-0.005198,0.000227,0.000520
1.871329,0.012308,0.007692,-0.001538,0.000769,0.001239,-0.005392,0.000300,-0.000194
1.936591,0.016154,0.009231,-0.003077,0.000769,0.000400,-0.005981,-0.000839,-0.000589
2.000263,0.020000,0.011538,-0.003077,0.002308,0.001023,-0.007254,0.000624,-0.001273
2.064842,0.023077,0.014615,-0.003077,0.002308,0.000690,-0.009018,-0.000334,-0.001764
2.127660,0.026923,0.016154,-0.003846,0.001538,0.000801,-0.009691,0.000112,-0.000674
2.191038,0.030769,0.018461,-0.003077,0.001538,0.001283,-0.009328,0.000481,0.000364
2.256464,0.032307,0.020000,-0.001538,0.001538,0.000680,-0.009288,-0.000602,0.000040
2.321266,0.035384,0.021538,-0.002308,0.001538,-0.000389,-0.008772,-0.001069,0.000516
