time,x,y,vx,vy,theta_x,theta_y,action_x,action_y,radius
0.102646,0.010769,0.031538,-0.003077,0.001538,0.002715,-0.003560,0.002715,-0.003560,0.033326
0.172447,0.020000,0.030000,-0.009231,-0.000769,0.002992,0.002124,0.000277,0.005683,0.036055
0.249141,0.027692,0.021538,-0.006923,-0.008462,0.003589,0.000511,0.000597,-0.001613,0.035082
0.316607,0.030769,0.010000,-0.003077,-0.010769,-0.004895,0.010122,-0.008484,0.009612,0.032353
0.385840,0.025385,-0.005385,0.005385,-0.016154,-0.000189,0.003103,0.004706,-0.007020,0.025949
0.454145,0.019231,-0.014615,0.005385,-0.008462,0.003608,0.008554,0.003796,0.005451,0.024154
0.524162,0.015385,-0.020000,0.003846,-0.004615,0.003586,0.008074,-0.000022,-0.000480,0.025233
0.591104,0.005385,-0.022308,0.009231,-0.002308,0.006826,0.004734,0.003241,-0.003340,0.022948
0.656157,-0.000769,-0.022308,0.006923,0.000000,0.003279,0.008835,-0.003548,0.004101,0.022321
0.722487,-0.006154,-0.018462,0.005385,0.003077,0.002931,0.005582,-0.000348,-0.003253,0.019460
0.789574,-0.010000,-0.012308,0.003077,0.006154,0.001721,0.004125,-0.001209,-0.001457,0.015858
0.857218,-0.012308,-0.008462,0.001538,0.003846,-0.001607,0.002218,-0.003329,-0.001907,0.014936
0.924566,-0.013077,-0.001538,0.000000,0.006154,-0.000480,0.001552,0.001127,-0.000666,0.013167
0.990232,-0.013077,-0.001538,0.000000,0.000000,0.000090,-0.000370,0.000570,-0.001921,0.013167
1.055631,-0.014615,-0.005385,0.000769,-0.003077,0.002018,0.005202,0.001928,0.005572,0.015576
1.120625,-0.014615,-0.006923,0.000000,-0.001538,0.002618,0.008020,0.000599,0.002818,0.016172
1.187520,-0.013846,-0.010769,-0.000769,-0.003846,0.002811,0.005546,0.000193,-0.002474,0.017541
1.257538,-0.014615,-0.013077,0.000769,-0.001538,0.003759,0.008114,0.000948,0.002568,0.019612
1.325635,-0.014615,-0.015385,0.000000,-0.001538,0.002337,0.007012,-0.001422,-0.001102,0.021220
1.393836,-0.013846,-0.015385,-0.000769,0.000000,0.002773,0.005893,0.000437,-0.001119,0.020698
1.461791,-0.014615,-0.015385,0.000769,0.000000,0.002299,0.005347,-0.000474,-0.000546,0.021220
1.528744,-0.013846,-0.016923,-0.000769,-0.000769,0.001740,0.005794,-0.000559,0.000446,0.021866
1.595826,-0.014615,-0.016923,0.000769,0.000000,0.002582,0.005464,0.000842,-0.000330,0.022361
1.661712,-0.014615,-0.018462,0.000000,-0.000769,0.001968,0.005816,-0.000615,0.000352,0.023546
1.728962,-0.016154,-0.017692,0.000769,0.000000,0.002565,0.005803,0.000597,-0.000013,0.023958
1.794011,-0.014615,-0.018462,-0.001538,-0.000769,0.001952,0.005929,-0.000613,0.000126,0.023546
1.859350,-0.013846,-0.018462,0.000000,0.000000,0.002945,0.005624,0.000993,-0.000305,0.023077
1.926010,-0.012308,-0.020000,-0.000769,-0.000769,0.002375,0.005788,-0.000571,0.000164,0.023484
1.990056,-0.013077,-0.022308,0.000000,-0.002308,0.003067,0.005923,0.000693,0.000136,0.025858
2.057587,-0.013077,-0.025385,0.000000,-0.002308,0.003200,0.007191,0.000132,0.001267,0.028555
2.124635,-0.014615,-0.025385,0.000769,0.000000,0.003579,0.007298,0.000380,0.000107,0.029291
2.190841,-0.014615,-0.026154,0.000000,-0.000769,0.003037,0.006489,-0.000542,-0.000809,0.029960
2.257383,-0.010769,-0.024615,-0.003846,0.001538,0.003710,0.006795,0.000673,0.000307,0.026868
2.322427,-0.005385,-0.026154,-0.005385,-0.001538,0.003500,0.006423,-0.000210,-0.000372,0.026702
2.390465,0.001538,-0.027692,-0.006923,-0.001538,0.006205,0.007251,0.002705,0.000828,0.027735
2.459003,0.008462,-0.025385,-0.006923,0.001538,0.007563,0.010239,0.001358,0.002988,0.026758
2.527048,0.016154,-0.026154,-0.006923,0.000000,0.006054,0.008093,-0.001508,-0.002146,0.030740
2.593239,0.020000,-0.027692,-0.003077,-0.000769,0.009845,0.007633,0.003791,-0.000460,0.034159
2.659736,0.020769,-0.030000,-0.000769,-0.002308,0.006563,0.014296,-0.003282,0.006663,0.036488
2.726761,0.019231,-0.033077,0.001538,-0.002308,0.007452,0.010203,0.000889,-0.004094,0.038261
2.793435,0.013846,-0.034615,0.004615,-0.001538,0.010322,0.012267,0.002870,0.002064,0.037282
2.860959,0.008462,-0.034615,0.005385,0.000000,0.005315,0.015207,-0.005008,0.002940,0.035634
2.929996,0.004615,-0.033077,0.003846,0.000769,0.009186,0.007317,0.003871,-0.007890,0.033397
2.998041,0.000000,-0.028461,0.005385,0.004615,0.008505,0.009414,-0.000681,0.002097,0.028461
3.063581,-0.002308,-0.024615,0.001538,0.003077,0.003268,0.007160,-0.005238,-0.002253,0.024723
3.131622,-0.004615,-0.020769,0.002308,0.003846,0.004612,0.005417,0.001344,-0.001744,0.021276
3.196657,-0.007692,-0.013077,0.002308,0.007692,0.002155,0.004919,-0.002457,-0.000498,0.015172
3.265201,-0.010769,-0.005385,0.002308,0.007692,-0.001635,0.001777,-0.003790,-0.003141,0.012040
3.332235,-0.016154,0.000769,0.004615,0.006154,-0.002170,-0.000828,-0.000535,-0.002605,0.016172
3.400279,-0.019231,0.002308,0.003077,0.001538,-0.002247,0.000981,-0.000077,0.001809,0.019369
3.465818,-0.021538,0.004615,0.001538,0.001538,0.000555,0.003450,0.002802,0.002468,0.022027
3.530854,-0.022308,0.003846,0.000000,0.000000,0.000528,0.002804,-0.000027,-0.000646,0.022637
3.599779,-0.020769,0.002308,-0.001538,-0.000769,0.002027,0.004148,0.001499,0.001344,0.020897
3.666882,-0.017692,0.002308,-0.002308,0.000000,0.002641,0.004654,0.000614,0.000507,0.017842
3.735930,-0.011538,0.000769,-0.006154,-0.000769,0.002745,0.003647,0.000104,-0.001008,0.011564
3.801486,-0.010000,-0.003077,-0.001538,-0.004615,0.004264,0.002910,0.001519,-0.000736,0.010463
3.868581,-0.006923,-0.004615,-0.002308,-0.000769,0.003393,0.008988,-0.000870,0.006078,0.008320
3.936621,-0.003077,-0.006154,-0.003846,-0.000769,0.003231,0.003861,-0.000163,-0.005127,0.006880
4.004658,0.000000,-0.008462,-0.003077,-0.002308,0.003164,0.002957,-0.000067,-0.000905,0.008462
4.073099,0.003077,-0.009231,-0.003077,-0.000769,0.004267,0.005163,0.001104,0.002207,0.009730
4.138633,0.004615,-0.009231,-0.001538,0.000000,0.004475,0.003755,0.000208,-0.001408,0.010320
4.206670,0.006923,-0.009231,-0.001538,0.000000,0.003942,0.003210,-0.000533,-0.000545,0.011538
4.276244,0.006923,-0.008462,0.000000,0.000769,0.004290,0.002850,0.000348,-0.000360,0.010933
4.343768,0.008462,-0.006923,-0.000769,0.000769,0.003719,0.003029,-0.000571,0.000178,0.010933
4.414824,0.008462,-0.005385,0.000000,0.000769,0.003842,0.002142,0.000123,-0.000887,0.010030
4.481884,0.008462,-0.003077,0.000000,0.002308,0.003314,0.002369,-0.000528,0.000227,0.009004
4.549405,0.008462,-0.000000,0.000000,0.002308,0.002601,0.001334,-0.000713,-0.001035,0.008462
4.618081,0.008462,0.002308,0.000000,0.002308,0.001886,0.001280,-0.000715,-0.000054,0.008771
4.683536,0.010000,0.005385,-0.000769,0.002308,0.001579,0.000898,-0.000308,-0.000382,0.011358
4.747327,0.009231,0.008461,0.000000,0.002308,0.001541,0.000172,-0.000038,-0.000726,0.012522
4.811997,0.010000,0.011538,-0.000769,0.002308,0.000935,0.000435,-0.000605,0.000263,0.015269
4.876720,0.010000,0.013077,0.000000,0.001538,0.000931,-0.000187,-0.000005,-0.000622,0.016462
4.942766,0.011538,0.016154,-0.000769,0.002308,0.000636,0.000470,-0.000294,0.000657,0.019851
5.007437,0.011538,0.017692,0.000000,0.001538,0.000402,-0.000684,-0.000234,-0.001154,0.021122
5.072557,0.011538,0.020000,0.000000,0.001538,-0.000095,0.000141,-0.000497,0.000826,0.023090
5.138524,0.011538,0.019231,0.000000,0.000000,0.000193,-0.000257,0.000288,-0.000399,0.022427
5.203031,0.013077,0.020000,-0.000769,0.000769,0.000310,0.001031,0.000117,0.001288,0.023896
5.267941,0.013077,0.020000,0.000000,0.000000,0.000441,0.000068,0.000131,-0.000963,0.023896
5.337491,0.013077,0.019231,0.000000,-0.000769,-0.000266,0.001098,-0.000708,0.001029,0.023256
5.403465,0.013077,0.019231,0.000000,0.000000,0.000096,0.001020,0.000362,-0.000077,0.023256
5.468624,0.013077,0.017692,0.000000,-0.000769,-0.000039,0.000523,-0.000135,-0.000497,0.022000
5.535187,0.014615,0.017692,-0.000769,0.000000,0.000098,0.001062,0.000137,0.000539,0.022948
5.602229,0.014615,0.017692,0.000000,0.000000,-0.000048,0.000241,-0.000146,-0.000821,0.022948
5.671278,0.014615,0.016154,0.000000,-0.000769,-0.000487,0.000562,-0.000439,0.000320,0.021784
5.738330,0.014615,0.012308,0.000000,-0.003077,0.000118,0.000681,0.000605,0.000120,0.019107
5.806361,0.014615,0.011538,0.000000,-0.000769,0.001174,0.002182,0.001056,0.001501,0.018621
5.874927,0.014615,0.007692,0.000000,-0.003077,0.001068,0.000964,-0.000106,-0.001218,0.016516
5.943011,0.016154,0.004615,-0.000769,-0.003077,0.001656,0.002549,0.000588,0.001585,0.016800
6.011906,0.016154,0.001538,0.000000,-0.003077,0.002952,0.001452,0.001295,-0.001097,0.016227
6.079970,0.016154,-0.000000,0.000000,-0.001538,0.003385,0.001931,0.000433,0.000480,0.016154
6.152492,0.016154,-0.001538,0.000000,-0.001538,0.003585,0.001274,0.000201,-0.000658,0.016227
6.227547,0.016154,-0.003077,0.000000,-0.001538,0.003822,0.001426,0.000237,0.000152,0.016444
6.298591,0.016154,-0.002308,0.000000,0.000000,0.004001,0.001557,0.000179,0.000131,0.016318
6.369131,0.016154,-0.003077,0.000000,-0.000769,0.003736,0.000909,-0.000265,-0.000648,0.016444
6.440177,0.016154,-0.002308,0.000000,0.000769,0.003930,0.001317,0.000194,0.000408,0.016318
6.508777,0.016154,-0.002308,0.000000,0.000000,0.003635,0.000606,-0.000295,-0.000711,0.016318
6.575339,0.016154,-0.002308,0.000000,0.000000,0.003668,0.001036,0.000033,0.000430,0.016318
6.640941,0.017692,-0.003077,-0.000769,-0.000769,0.003762,0.000916,0.000093,-0.000120,0.017958
6.709001,0.017692,-0.002308,0.000000,0.000000,0.004301,0.000719,0.000540,-0.000197,0.017842
6.775551,0.017692,-0.003077,0.000000,-0.000769,0.003727,0.000941,-0.000574,0.000222,0.017958
6.842612,0.019231,-0.003077,-0.000769,0.000000,0.003985,0.001053,0.000258,0.000112,0.019475
6.909970,0.018462,-0.003077,0.000000,0.000000,0.004286,-0.000008,0.000301,-0.001061,0.018716
6.977030,0.016923,-0.002308,0.000769,0.000769,0.003747,0.000967,-0.000538,0.000975,0.017080
7.045579,0.016923,-0.002308,0.000000,0.000000,0.003447,0.000786,-0.000301,-0.000181,0.017080
7.112393,0.015385,-0.002308,0.000769,0.000000,0.003824,0.000638,0.000377,-0.000148,0.015557
7.180462,0.013846,0.000769,0.000769,0.003077,0.003407,0.001449,-0.000417,0.000810,0.013867
7.245509,0.013846,0.002308,0.000000,0.001538,0.002285,0.000210,-0.001123,-0.001238,0.014037
7.310178,0.013846,0.005385,0.000000,0.002308,0.002249,0.000565,-0.000035,0.000354,0.014856
7.374957,0.012308,0.006923,0.000769,0.001538,0.001388,0.000480,-0.000861,-0.000085,0.014121
7.438670,0.013077,0.009231,0.000000,0.001538,0.001098,0.000837,-0.000290,0.000357,0.016007
7.506500,0.013077,0.010769,0.000000,0.001538,0.001121,0.000220,0.000023,-0.000617,0.016941
7.572642,0.013077,0.012308,0.000000,0.001538,0.000839,0.000309,-0.000282,0.000089,0.017958
