time,x,y,vx,vy,theta_x,theta_y,action_x,action_y,radius
0.080943,-0.006320,-0.079180,-0.048868,-0.012972,-0.014063,0.074114,-0.014063,0.074114,0.079432
0.159105,-0.008646,-0.079595,-0.024327,0.000548,-0.049098,0.038885,-0.035035,-0.035229,0.080063
0.238246,-0.009589,-0.079086,-0.004989,0.014393,-0.030209,0.034462,0.018889,-0.004423,0.079666
0.316287,-0.009381,-0.077829,0.010441,0.022551,-0.010579,0.031109,0.019630,-0.003353,0.078392
0.394281,-0.008350,-0.076125,0.018770,0.027951,-0.013515,0.005736,-0.002937,-0.025373,0.076582
0.471381,-0.007001,-0.074131,0.020996,0.031428,-0.008413,0.001029,0.005103,-0.004706,0.074461
0.549635,-0.005599,-0.071967,0.020864,0.033208,-0.005955,0.000459,0.002457,-0.000570,0.072184
0.627144,-0.004254,-0.069715,0.019404,0.034212,-0.006173,-0.002607,-0.000217,-0.003066,0.069845
0.704039,-0.003046,-0.067409,0.016880,0.034869,-0.005721,-0.004635,0.000451,-0.002028,0.067478
0.783265,-0.002028,-0.065078,0.013787,0.034986,-0.004139,-0.005372,0.001583,-0.000737,0.065109
0.860676,-0.001227,-0.062758,0.010434,0.034576,-0.003522,-0.006039,0.000617,-0.000667,0.062770
0.938541,-0.000657,-0.060477,0.006862,0.033851,-0.003276,-0.007073,0.000246,-0.001034,0.060481
1.016336,-0.000327,-0.058255,0.003273,0.032828,-0.002540,-0.007149,0.000736,-0.000076,0.058256
1.093752,-0.000229,-0.056111,-0.000058,0.031545,-0.002178,-0.006737,0.000362,0.000412,0.056111
1.171340,-0.000339,-0.054056,-0.003009,0.030188,-0.002340,-0.006348,-0.000162,0.000389,0.054057
1.250493,-0.000632,-0.052090,-0.005564,0.028891,-0.002504,-0.005982,-0.000164,0.000366,0.052094
1.328743,-0.001081,-0.050207,-0.007710,0.027694,-0.002612,-0.005466,-0.000109,0.000516,0.050218
1.405926,-0.001656,-0.048400,-0.009347,0.026590,-0.002655,-0.004473,-0.000043,0.000993,0.048428
1.483400,-0.002320,-0.046665,-0.010425,0.025540,-0.002593,-0.003479,0.000062,0.000994,0.046722
1.561794,-0.003037,-0.044998,-0.011010,0.024523,-0.002587,-0.002726,0.000007,0.000752,0.045100
1.640866,-0.003780,-0.043399,-0.011202,0.023523,-0.002542,-0.002127,0.000045,0.000599,0.043563
1.721382,-0.004513,-0.041866,-0.010837,0.022508,-0.002420,-0.001717,0.000122,0.000410,0.042108
1.799286,-0.005224,-0.040402,-0.010524,0.021454,-0.002361,-0.001676,0.000059,0.000041,0.040739
1.877021,-0.005915,-0.039010,-0.010207,0.020386,-0.002310,-0.001605,0.000051,0.000072,0.039456
1.955684,-0.006584,-0.037689,-0.009877,0.019304,-0.002254,-0.001642,0.000056,-0.000037,0.038260
2.035611,-0.007230,-0.036440,-0.009546,0.018256,-0.002421,-0.001700,-0.000167,-0.000058,0.037150
2.114339,-0.007855,-0.035258,-0.009215,0.017277,-0.002553,-0.001725,-0.000131,-0.000025,0.036122
2.193488,-0.008458,-0.034138,-0.008895,0.016365,-0.002661,-0.001803,-0.000108,-0.000078,0.035171
2.271463,-0.008946,-0.033278,-0.001056,-0.000499,-0.002771,-0.001888,-0.000110,-0.000084,0.034460
2.348742,-0.009982,-0.036823,-0.031894,-0.164363,-0.009049,-0.001743,-0.006279,0.000144,0.038152
2.425262,-0.021871,-0.063165,-0.235419,-0.455010,-0.070551,0.036200,-0.061501,0.037944,0.066845
2.502344,-0.035957,-0.090172,-0.180587,-0.344054,-0.078568,0.079997,-0.008018,0.043797,0.097076
2.580985,-0.045862,-0.109225,-0.120114,-0.233534,-0.078370,0.079964,0.000199,-0.000033,0.118463
2.658087,-0.052168,-0.121474,-0.075637,-0.156274,-0.075254,0.079826,0.003116,-0.000138,0.132202
2.735653,-0.055842,-0.130491,-0.037279,-0.117031,-0.076836,0.079288,-0.001583,-0.000538,0.141937
2.988071,-0.057018,-0.136938,-0.000316,-0.078577,-0.075765,0.078135,0.001071,-0.001152,0.148334
3.066416,-0.055853,-0.140945,0.033876,-0.042678,-0.068267,0.075387,0.007498,-0.002748,0.151608
3.143482,-0.052593,-0.142775,0.063649,-0.012367,-0.055103,0.066561,0.013164,-0.008826,0.152154
3.220798,-0.047607,-0.142870,0.086447,0.010135,-0.035362,0.046026,0.019742,-0.020535,0.150593
3.298997,-0.041328,-0.141760,0.102158,0.022980,-0.011489,0.032253,0.023872,-0.013773,0.147661
3.375524,-0.034110,-0.139997,0.113503,0.028913,-0.004402,0.024719,0.007087,-0.007534,0.144093
3.452808,-0.026385,-0.137998,0.117329,0.030453,0.003137,0.002039,0.007539,-0.022680,0.140498
3.530513,-0.018649,-0.135946,0.113900,0.031063,-0.003701,-0.012637,-0.006838,-0.014676,0.137219
3.607891,-0.011350,-0.133916,0.104897,0.029439,0.008047,-0.017590,0.011748,-0.004953,0.134396
