time,x,y,vx,vy,theta_x,theta_y,action_x,action_y,radius
0.066084,0.033077,-0.002308,0.001538,0.000769,-0.004888,0.001529,-0.004888,0.001529,0.033157
0.129409,0.032308,-0.000000,0.000000,0.002308,-0.005310,0.001561,-0.000422,0.000032,0.032308
0.194436,0.030769,0.000769,0.000769,0.001538,-0.005534,0.001871,-0.000224,0.000310,0.030779
0.257606,0.030769,0.003846,0.000000,0.002308,-0.005485,0.001873,0.000049,0.000002,0.031009
0.321382,0.030769,0.005385,0.000000,0.001538,-0.005858,0.002018,-0.000373,0.000145,0.031237
0.384554,0.029231,0.007692,0.000769,0.001538,-0.005946,0.002045,-0.000088,0.000027,0.030226
0.449783,0.027692,0.007692,0.000769,0.000000,-0.006076,0.002173,-0.000130,0.000128,0.028741
0.511308,0.026154,0.009231,0.000769,0.000769,-0.005925,0.002161,0.000151,-0.000012,0.027735
0.574980,0.024615,0.009231,0.000769,0.000000,-0.006085,0.002323,-0.000161,0.000162,0.026289
0.637724,0.024615,0.010769,0.000000,0.000769,-0.005977,0.002331,0.000108,0.000008,0.026868
0.703294,0.023077,0.010769,0.000769,0.000000,-0.006196,0.002428,-0.000219,0.000097,0.025466
0.766846,0.023077,0.012308,0.000000,0.000769,-0.006047,0.002481,0.000149,0.000052,0.026154
0.829199,0.023077,0.012308,0.000000,0.000000,-0.006263,0.002577,-0.000217,0.000097,0.026154
0.892321,0.021538,0.012308,0.000769,0.000000,-0.006218,0.002538,0.000045,-0.000040,0.024807
0.957151,0.021538,0.012308,0.000000,0.000000,-0.006115,0.002636,0.000104,0.000099,0.024807
1.021428,0.021538,0.012308,0.000000,0.000000,-0.006138,0.002599,-0.000023,-0.000037,0.024807
1.085129,0.021538,0.012308,0.000000,0.000000,-0.006155,0.002596,-0.000018,-0.000003,0.024807
1.149322,0.021538,0.012308,0.000000,0.000000,-0.006151,0.002598,0.000005,0.000002,0.024807
1.214362,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,0.000001,0.000001,0.024807
1.277571,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,-0.000000,-0.000000,0.024807
1.340122,0.022308,0.012308,-0.000769,0.000000,-0.006150,0.002598,-0.000000,-0.000000,0.025478
1.405028,0.021538,0.012308,0.000000,0.000000,-0.006224,0.002542,-0.000074,-0.000056,0.024807
1.471392,0.021538,0.012308,0.000000,0.000000,-0.006155,0.002603,0.000069,0.000061,0.024807
1.534558,0.021538,0.012308,0.000000,0.000000,-0.006141,0.002602,0.000014,-0.000001,0.024807
1.597228,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,-0.000009,-0.000004,0.024807
1.659968,0.022308,0.012308,-0.000769,0.000000,-0.006151,0.002598,-0.000001,-0.000000,0.025478
1.723827,0.021538,0.012308,0.000000,0.000000,-0.006225,0.002542,-0.000074,-0.000056,0.024807
1.788436,0.022308,0.012308,-0.000769,0.000000,-0.006155,0.002603,0.000070,0.000061,0.025478
1.853424,0.021538,0.012308,0.000769,0.000000,-0.006216,0.002546,-0.000061,-0.000057,0.024807
1.916391,0.021538,0.012308,0.000000,0.000000,-0.006119,0.002630,0.000096,0.000084,0.024807
1.978160,0.021538,0.012308,0.000000,0.000000,-0.006139,0.002599,-0.000020,-0.000031,0.024807
2.042478,0.021538,0.012308,0.000000,0.000000,-0.006155,0.002596,-0.000015,-0.000003,0.024807
2.105423,0.021538,0.012308,0.000000,0.000000,-0.006151,0.002598,0.000004,0.000002,0.024807
2.169675,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,0.000001,0.000001,0.024807
2.233277,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,-0.000000,-0.000000,0.024807
2.295565,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,-0.000000,-0.000000,0.024807
2.357941,0.021538,0.012308,0.000000,0.000000,-0.006150,0.002598,0.000000,0.000000,0.024807
2.422301,0.022308,0.012308,-0.000769,0.000000,-0.006150,0.002598,0.000000,0.000000,0.025478
2.484088,0.021538,0.013077,0.000000,0.000000,-0.006224,0.002542,-0.000074,-0.000056,0.025197
2.549013,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002648,0.000006,0.000106,0.025197
2.614075,0.021538,0.013077,0.000000,0.000000,-0.006205,0.002645,0.000014,-0.000003,0.025197
2.676483,0.021538,0.013077,0.000000,0.000000,-0.006220,0.002643,-0.000015,-0.000002,0.025197
2.741397,0.021538,0.013077,0.000000,0.000000,-0.006220,0.002643,-0.000000,-0.000001,0.025197
2.805331,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,0.000000,0.000001,0.025197
2.868712,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,0.000000,-0.000000,0.025197
2.931167,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,-0.000000,-0.000000,0.025197
2.994289,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,-0.000000,-0.000000,0.025197
3.057363,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,0.000000,0.000000,0.025197
3.120193,0.021538,0.013077,0.000000,0.000000,-0.006219,0.002644,-0.000000,-0.000000,0.025197
3.183125,0.022308,0.013077,-0.000769,0.000000,-0.006219,0.002644,-0.000000,-0.000000,0.025858
3.244914,0.024615,0.013077,-0.002308,0.000000,-0.006295,0.002587,-0.000075,-0.000056,0.027873
3.309047,0.026154,0.013077,-0.001538,0.000000,-0.006474,0.002428,-0.000179,-0.000159,0.029241
3.372694,0.030000,0.013077,-0.003077,0.000000,-0.006506,0.002392,-0.000033,-0.000036,0.032726
3.436310,0.033846,0.013077,-0.003077,0.000000,-0.006607,0.002174,-0.000100,-0.000218,0.036284
3.498332,0.036923,0.013077,-0.003077,0.000000,-0.006666,0.002048,-0.000059,-0.000126,0.039170
3.562044,0.040000,0.013077,-0.003077,0.000000,-0.006692,0.001988,-0.000026,-0.000060,0.042083
3.628174,0.041538,0.013077,-0.001538,0.000000,-0.006768,0.001966,-0.000076,-0.000022,0.043548
3.691296,0.044615,0.013077,-0.002308,0.000000,-0.006769,0.001987,-0.000001,0.000021,0.046492
3.754362,0.046154,0.013077,-0.001538,0.000000,-0.006897,0.001936,-0.000128,-0.000051,0.047971
3.817978,0.049231,0.013077,-0.002308,0.000000,-0.006930,0.001978,-0.000033,0.000041,0.050938
3.881107,0.050769,0.013077,-0.001538,0.000000,-0.006967,0.002000,-0.000037,0.000023,0.052426
3.944602,0.053846,0.013077,-0.002308,0.000000,-0.006983,0.001993,-0.000017,-0.000008,0.055411
4.007815,0.054615,0.011538,-0.000769,-0.000769,-0.007023,0.001993,-0.000040,0.000000,0.055821
4.071459,0.056154,0.011538,-0.000769,0.000000,-0.006844,0.002018,0.000179,0.000024,0.057327
4.133479,0.057692,0.010000,-0.000769,-0.000769,-0.006865,0.002031,-0.000022,0.000014,0.058552
4.196134,0.057692,0.010000,0.000000,0.000000,-0.006731,0.002061,0.000135,0.000030,0.058552
4.259446,0.059231,0.010000,-0.000769,0.000000,-0.006734,0.002066,-0.000004,0.000006,0.060069
4.322582,0.059231,0.008461,0.000000,-0.000769,-0.006774,0.002070,-0.000040,0.000004,0.059832
4.386720,0.059231,0.008461,0.000000,0.000000,-0.006601,0.002069,0.000173,-0.000001,0.059832
4.449609,0.059231,0.006923,0.000000,-0.000769,-0.006599,0.002071,0.000002,0.000002,0.059634
4.512721,0.059231,0.006923,0.000000,0.000000,-0.006446,0.002040,0.000154,-0.000031,0.059634
4.575737,0.059231,0.005385,0.000000,-0.000769,-0.006449,0.002048,-0.000003,0.000008,0.059475
4.639860,0.059231,0.003846,0.000000,-0.000769,-0.006298,0.002010,0.000151,-0.000039,0.059355
4.702408,0.059231,0.003846,0.000000,0.000000,-0.006129,0.001986,0.000169,-0.000024,0.059355
4.765660,0.058461,0.002308,0.000769,-0.000769,-0.006156,0.001990,-0.000027,0.000004,0.058507
4.828861,0.058461,0.002308,0.000000,0.000000,-0.005954,0.001907,0.000202,-0.000083,0.058507
4.892623,0.056923,0.000769,0.000769,-0.000769,-0.005988,0.001951,-0.000034,0.000044,0.056928
4.955505,0.056923,-0.000000,0.000000,-0.000769,-0.005779,0.001854,0.000209,-0.000097,0.056923
5.017789,0.055385,-0.001538,0.000769,-0.000769,-0.005699,0.001853,0.000080,-0.000000,0.055406
5.080082,0.055385,-0.003077,0.000000,-0.000769,-0.005532,0.001765,0.000168,-0.000089,0.055470
5.142491,0.053846,-0.004615,0.000769,-0.000769,-0.005422,0.001705,0.000110,-0.000060,0.054043
5.206417,0.052308,-0.006154,0.000769,-0.000769,-0.005254,0.001629,0.000168,-0.000076,0.052668
5.270056,0.052308,-0.007692,0.000000,-0.000769,-0.005133,0.001568,0.000121,-0.000061,0.052870
