time,x,y,vx,vy,theta_x,theta_y,action_x,action_y,radius
0.088425,-0.016923,-0.024615,0.009999,0.001538,0.057809,0.000366,0.050000,0.000366,0.029871
0.173475,-0.023077,-0.013077,0.006153,0.010769,0.042326,-0.026647,-0.007674,-0.027014,0.026524
0.254768,-0.024615,-0.002308,0.001538,0.010769,-0.007702,-0.033393,-0.050000,-0.006745,0.024723
0.337922,-0.019231,0.007692,-0.005384,0.010769,0.019932,-0.063871,0.027606,-0.030479,0.020712
0.422589,-0.011538,0.011538,-0.006923,0.003077,0.015852,-0.061942,-0.004080,0.001929,0.016318
0.504504,-0.000769,0.006923,-0.009999,-0.003846,0.009415,0.023067,-0.006437,0.050000,0.006966
0.586487,0.005385,0.000000,-0.006923,-0.007692,-0.034503,0.038610,-0.043918,0.050000,0.005385
0.668831,0.010000,-0.007692,-0.003846,-0.007692,0.047681,0.006905,0.050000,-0.031153,0.012616
0.754929,0.010000,-0.015385,0.000000,-0.007692,-0.064826,-0.013967,-0.050000,-0.020872,0.018349
0.838121,0.008462,-0.019231,0.001538,-0.003077,0.009757,-0.060072,0.044260,-0.046105,0.021010
0.920667,0.004615,-0.016923,0.003846,0.001538,0.063400,0.012842,0.050000,0.050000,0.017541
1.002539,0.002308,-0.013077,0.001538,0.003846,0.029253,-0.048279,-0.030504,-0.038206,0.013279
1.086879,0.000000,-0.011538,0.002308,0.000769,0.026876,-0.051546,-0.002377,-0.003268,0.011538
1.169111,-0.000769,-0.011538,0.000769,0.000000,0.022243,-0.056723,-0.004633,-0.005177,0.011564
1.250937,0.000000,-0.011538,-0.001538,0.000000,0.024827,-0.043589,0.002584,0.013134,0.011538
1.333368,0.003077,-0.011538,-0.002308,0.000000,0.009025,-0.010191,-0.015803,0.033398,0.011942
1.416965,0.008462,-0.011538,-0.004615,0.000000,0.002846,0.030052,-0.006178,0.040243,0.014308
1.499547,0.011538,-0.012308,-0.003077,-0.000769,-0.045062,0.015672,-0.047908,-0.014380,0.016870
1.581886,0.016154,-0.012308,-0.003846,0.000000,0.011007,0.009521,0.050000,-0.006151,0.020308
1.664540,0.020769,-0.013846,-0.003846,-0.000769,-0.008704,0.053593,-0.013642,0.044072,0.024961
1.748134,0.024615,-0.013077,-0.003077,0.000000,-0.060646,-0.004798,-0.050000,-0.050000,0.027873
1.830380,0.026154,-0.010769,-0.001538,0.002308,-0.013516,-0.014894,0.045188,-0.018487,0.028284
1.912909,0.028461,-0.008462,-0.001538,0.001538,-0.008401,-0.005658,0.005115,0.009236,0.029693
1.995340,0.027692,-0.006154,0.000000,0.002308,0.026035,0.036336,0.034436,0.041994,0.028368
2.077788,0.026154,-0.004615,0.000769,0.001538,-0.041928,0.015302,-0.050000,-0.021034,0.026558
2.160946,0.023846,-0.001538,0.002308,0.002308,0.015406,-0.020189,0.039370,-0.035491,0.023896
2.242745,0.022308,0.000769,0.001538,0.002308,-0.015723,-0.045025,-0.031129,-0.024836,0.022321
2.325321,0.019231,0.002308,0.002308,0.001538,0.044894,-0.008766,0.050000,0.036259,0.019369
2.407947,0.016154,0.006154,0.002308,0.003077,0.028920,-0.048741,-0.005357,-0.039975,0.017286
2.489987,0.013077,0.008462,0.002308,0.001538,0.040109,-0.030088,0.011190,0.018653,0.015576
2.572396,0.011538,0.011538,0.001538,0.002308,0.031966,-0.037660,-0.008143,-0.007572,0.016318
2.653647,0.009231,0.011538,0.001538,0.000000,0.029645,-0.038676,-0.002321,-0.001016,0.014776
2.735933,0.009231,0.012308,0.000000,0.000769,0.027802,-0.034156,-0.001843,0.004520,0.015385
