time,x,y,vx,vy,psi1,psi2,psi3,delta_psi1,delta_psi2,delta_psi3,radius
0.103690,0.011538,-0.001538,-0.008461,-0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,0.011640
0.206881,0.013846,-0.000769,-0.002307,0.000769,4.000000,4.000000,4.000000,2.000000,2.000000,2.000000,0.013867
0.308245,0.013846,-0.000769,0.000000,-0.000000,3.613722,3.021570,2.352546,-0.386278,-0.978430,-1.647454,0.013867
0.410912,0.013846,-0.001538,0.000000,-0.000769,3.614687,3.620814,2.920615,0.000965,0.599243,0.568069,0.013931
0.512251,0.011538,-0.001538,0.001538,-0.000000,3.671353,4.666107,3.366594,0.056666,1.045293,0.445979,0.011640
0.614745,0.007692,-0.001538,0.003846,-0.000000,3.850995,4.047994,3.639645,0.179642,-0.618113,0.273051,0.007845
0.717014,0.003846,-0.000769,0.003077,0.000769,3.599019,3.878071,2.655948,-0.251976,-0.169922,-0.983697,0.003922
0.818924,-0.000769,-0.000769,0.004615,-0.000000,3.141167,4.010721,2.746917,-0.457852,0.132649,0.090969,0.001088
0.920227,-0.005385,-0.000769,0.004615,-0.000000,3.044051,4.220180,3.322947,-0.097116,0.209459,0.576031,0.005439
1.022483,-0.008462,-0.000769,0.003077,-0.000000,3.334077,3.898551,3.289375,0.290026,-0.321628,-0.033572,0.008496
1.123985,-0.013846,0.000000,0.005384,0.000769,3.347911,3.807444,3.233701,0.013834,-0.091107,-0.055674,0.013846
1.226097,-0.017692,0.001538,0.003077,0.000769,2.672061,4.214126,3.760614,-0.675849,0.406682,0.526913,0.017759
1.327175,-0.021538,0.003077,0.003077,0.000769,3.644613,3.903771,2.978138,0.972552,-0.310355,-0.782476,0.021757
1.429539,-0.025384,0.005385,0.003846,0.002307,2.868580,5.066946,3.964645,-0.776033,1.163175,0.986508,0.025949
1.531528,-0.029231,0.008462,0.003077,0.002307,4.505899,5.693553,2.383944,1.637319,0.626607,-1.580701,0.030431
1.633272,-0.030769,0.011538,0.001538,0.002307,3.155923,5.332043,3.716298,-1.349976,-0.361511,1.332353,0.032861
1.735333,-0.033077,0.014615,0.001538,0.002307,4.046857,5.829909,2.343329,0.890934,0.497867,-1.372968,0.036162
1.837147,-0.033077,0.016154,0.000000,0.001538,3.654237,5.089691,3.412426,-0.392620,-0.740219,1.069097,0.036811
1.939192,-0.033077,0.016923,0.000000,-0.000000,4.304132,5.397639,3.206539,0.649894,0.307948,-0.205887,0.037155
2.041546,-0.032308,0.016923,-0.000769,-0.000000,3.487320,5.317158,4.088360,-0.816812,-0.080481,0.881821,0.036471
2.143713,-0.030000,0.016154,-0.002307,-0.000769,3.862808,4.586540,2.390661,0.375488,-0.730618,-1.697700,0.034072
2.245777,-0.028461,0.014615,-0.001538,-0.000769,3.788421,3.905473,2.826689,-0.074387,-0.681067,0.436029,0.031995
2.348243,-0.025384,0.013077,-0.002307,-0.000769,3.556774,4.688841,3.695786,-0.231647,0.783368,0.869097,0.028555
2.450286,-0.023846,0.011538,-0.001538,-0.000769,3.969400,3.729933,3.363429,0.412626,-0.958908,-0.332358,0.026491
2.552644,-0.023077,0.010000,0.000000,-0.000769,3.456341,3.960358,3.104399,-0.513059,0.230425,-0.259030,0.025150
2.655266,-0.020769,0.007692,-0.002307,-0.002307,3.528676,3.927649,3.268547,0.072335,-0.032709,0.164148,0.022148
2.757481,-0.022308,0.007692,0.000769,-0.000000,3.887740,4.179410,3.282056,0.359065,0.251761,0.013509,0.023597
2.861436,-0.022308,0.007692,0.000000,-0.000000,3.324529,4.110542,2.914736,-0.563211,-0.068867,-0.367320,0.023597
2.965723,-0.023846,0.007692,0.000769,-0.000000,3.379459,3.999041,3.478099,0.054930,-0.111502,0.563363,0.025056
3.068642,-0.023846,0.007692,0.000000,-0.000000,3.525121,4.034007,2.834027,0.145662,0.034966,-0.644072,0.025056
3.170222,-0.027692,0.009231,0.003077,0.000769,3.484588,3.820645,3.203882,-0.040533,-0.213362,0.369855,0.029190
3.272042,-0.029231,0.010769,0.001538,0.000769,2.822360,4.120885,2.890713,-0.662228,0.300240,-0.313169,0.031151
3.374265,-0.032308,0.012308,0.002307,0.000769,3.131495,3.651497,2.836827,0.309135,-0.469388,-0.053886,0.034572
3.477005,-0.033846,0.013846,0.001538,0.000769,2.882137,3.681226,3.214800,-0.249359,0.029729,0.377973,0.036569
3.579187,-0.036923,0.016154,0.002307,0.002307,3.148285,3.746353,2.800109,0.266149,0.065127,-0.414691,0.040302
3.680932,-0.040000,0.017692,0.002307,0.001538,2.781441,4.428106,3.144169,-0.366844,0.681753,0.344060,0.043738
3.782861,-0.041538,0.020769,0.001538,0.002307,3.366997,4.180676,2.548492,0.585557,-0.247430,-0.595677,0.046441
3.884347,-0.044615,0.023846,0.002307,0.002307,2.841448,4.587695,3.121970,-0.525549,0.407019,0.573478,0.050588
3.986577,-0.045384,0.026923,0.000769,0.002307,3.583403,5.221944,2.469813,0.741954,0.634249,-0.652157,0.052769
4.088460,-0.045384,0.027692,0.000000,0.000769,3.632888,4.482968,3.564711,0.049485,-0.738976,1.094898,0.053166
4.190118,-0.044615,0.026923,-0.000769,-0.000769,4.001062,5.344502,3.414891,0.368175,0.861535,-0.149820,0.052109
4.291897,-0.043077,0.024615,-0.000769,-0.002307,3.408918,4.364800,4.017463,-0.592144,-0.979702,0.602572,0.049614
4.393630,-0.041538,0.023077,-0.000769,-0.001538,4.294341,4.817197,3.426382,0.885423,0.452397,-0.591081,0.047518
4.494669,-0.039231,0.020769,-0.002307,-0.001538,3.028766,4.974076,4.393148,-1.265575,0.156879,0.966766,0.044389
